Heure,CAPE,CIN
13-15,1987.9186804733422,0
13-30,1481.373281909497,-8.005153874620502
13-45,1751.457351180869,-9.775729538592465
14-00,1747.277220730486,-8.673310677561439
14-15,1645.43657612379,0
14-30,802.2533428041816,-24.53760037702687
14-45,122.09784995869524,-74.47346839295152
15-00,237.92348020323672,-108.01186254539255
15-15,182.24422086119156,-100.63417679908638
15-30,2.460084305505417,-206.0816799114392
15-45,0,0
16-00,-1.4341878752260557,-132.75906734728193
16-15,0,0
16-30,18.348910752169438,-66.71804827314979
16-45,0,0
17-00,0,0
17-15,0,0
17-30,0,0
17-45,0,0
18-00,0,0
18-15,0,0
18-30,0,0
18-45,0,0
19-00,0,0
19-15,0,0
19-30,0,0
19-45,0,0
20-00,0,0
20-15,0,0
20-30,0,0
20-45,0,0
21-00,0,0
21-15,0,0
21-30,0,0
21-45,0,0
22-00,0,0
